Namn;pgkod;persnr;Namn;meritp;Namn ;Kurskod;HP;Obligatorisk;betyg
Statistik och dataanalys;LIU50007;2029857945;Erick Jubb;15.74;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2029857945;Erick Jubb;15.74;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;2029857945;Erick Jubb;15.74;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2029857945;Erick Jubb;15.74;Statistisk analys av samhällsdata;HSTA21;10;1;VG
Statistik och dataanalys;LIU50007;2029857945;Erick Jubb;15.74;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;6285626747;Sonny Servais;13.79;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Diskret matematik och logik;HMAA61;5;1;VG
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Vetenskapsfilosofi;HVTA52;5;0;VG
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;5445442051;Garvin Bujold;16.08;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;8727007106;Bruno Doran;5.37;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;5407286160;Barnett Beshir;19.32;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Data Mining;HSTC22;5;0;VG
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;2849215186;Walt Naujokas;16.21;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Statistisk analys av samhällsdata;HSTA21;10;1;VG
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;6885972894;Franny Frink;16.97;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Vetenskapsfilosofi;HVTA52;5;0;VG
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;2295450897;Alonzo Coody;15.27;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;3099241776;Cooper Lavecchia;8.56;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Databaser: Design och programmering;HIBB31;5;1;VG
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;1897290140;Conroy Prescott;11.59;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Surveymetodik med uppsats;HSTB21;10;1;VG
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;1316066654;Ad Albright;18.72;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Statistisk analys av samhällsdata;HSTA21;10;1;VG
Statistik och dataanalys;LIU50007;1740393403;Cart Modigh;18.24;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;6560501798;Ebenezer Belcourt;17.40;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;7242655156;Shellysheldon Kowal;15.38;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;3088382933;Cirilo Abdalla;11.75;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;9784237425;Darwin Van Loon;15.82;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;8363809594;Archibaldo Jahromi;15.58;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;4960221602;Gilberto McColl;16.33;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;7776445052;Francesco Bach;8.95;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;1564475081;Giavani Ronald;12.87;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;1564475081;Giavani Ronald;12.87;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1564475081;Giavani Ronald;12.87;Data Mining;HSTC22;5;0;U
